0,1,2,3,4,5,6,7,8,9,10,11,12
"S/ 2,268",(USD 630),S/ 140 Mantenimiento,Jr. Castilla 450 dpt 105 San Miguel,"Julio Cesar Tello, San Miguel",110 m²,110 m²,3 dorm.,2 baños,"Alquilo Amplio DepartamentoAlquilo departamento en cuadra 4 de Jirón Castilla en San Miguel (entre Tacna y Lima). Área: 110m2. Primer Piso. 3 dormitorios más un área de estudio contigua a dormitorio principal, 2 baños, sala-comedor, terraza interna, lavandería en el departamento, lavandería en zona común (sótano de edificio), cocina con reposteros altos y bajos. $630. - alquiler mensual (2x1), S/140. - mantenimiento mensual, incluye vigilancia 24x7.",Dueño directo,Contactar,
"S/ 2,100",(USD 584),S/ 250 Mantenimiento,Jiron Nazca 500,"Jesús María, Lima",102 m²,102 m²,3 dorm.,2 baños,"Alquilo Lindo Departamento Frente Al Campo de MarteAsesores: jenner shigueto 9. 2. 4. 7. 7. 2. 6. 7. 8. pilar palomino 9. 2. 4. 7. 8. 2. 4. 2. 5. en alquiler lindo departamento en jesus maría. edificio frente al campo de marte. Vista interna. el departamento consta de. sala comedor super amplia E iluminada. cocina cerrada con reposteros altos Y bajos amplia Y ventilada. area de lavandería separada de la cocina, muy ventilada. area de servicio completa (dormitorio Y baño) 3 dormitorios, el principal con baño incorporado. pasadizo con espacio para area de estudio O estar. Seguridad 24/7. cerca A avenidas principales como av. Salaverry Y av. Brasil. costado del jne. condiciones 2*1. mantenimiento 250",Contactar,,
"S/ 2,400",(USD 659),Pje. Cipriano Dulanto 2,"Pueblo Libre, Lima",95 m²,95 m²,3 dorm.,2 baños,"Se Alquila Departamento de 3 Dorm. Muy Iluminado en Excelente Zona de Pueblo Libre Se alquila muy lindo departamento de 3 dormitorios grandes. Muy iluminado. Ubicado en Av. Ciprano Dulanto (Ex avenida la Mar) en el Edificio Mar Adentro, a 4 cuadras de Av. Universitaria, en donde se encuentran supermercados como Wong, bancos, Bembos, farmacias, gimnasios entre otros. El departamento cuenta con las siguientes características: Flat ubicado en sexto piso. Sala comedor con vista a jardines, tiene vista amplia y panorámica. Balcón. Baño de visitas. Cocina. Lavandería. Pequeño hall de distribución. 2 dormitorios con closet muy iluminados. Baño completo compartido. 1 dormitorio principal grande con walking closet y baño. Tiene un balcón. Cuenta además con 1 cómoda cochera en primer sótano. Ubicado en la torre 1. Incluye cochera. El edificio Maradentro es un condominio donde la seguridad es una de sus fortalezas. Cuenta con salones para reuniones/cumpleaños además de una zona de expansión en el primer piso. Tiene 9 pisos, son 2 torres y 150 departamentos en total. 4 ascensores. T. C. 3. 70Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado.",Contactar,,,
"S/ 1,900",5%,S/ 130 Mantenimiento,Av. César Canevaro 965,"Lince, Lima",100 m²,100 m²,3 dorm.,2 baños,"Amplio Dpto 2do PisoUbicación inmejorable sin cochera, tendal. Piso de parquet, closets en dormitorios de madera, cocina con reposteros renovados. A cuadras de Parque Castilla, Hospital Rebagliati, Colegio Sophianum, Wong de 2 de mayo",Dueño directo,Contactar,
"S/ 2,840",21%,(USD 800),CALLE LAS MARGARITAS 170,"Lince, Lima",107 m²,107 m²,3 dorm.,3 baños,"Alquiler Moderno y Amplio Departamento AmobladoAlquiler de amplio departamento amoblado y equipado como se muestra en las fotos, ideal para ejecutivos o grupo familiar de adultos. Está ubicado en Lince límite con San Isidro cerca de parques, centro financiero, centros comerciales y clínicas. El edificio tiene seis pisos y dos departamentos por piso. A continuación se detallan las características del departamento: - Sala equipada con juego de muebles, mesa de centro, mesa lateral y mueble bar. - Pequeño balcón con muebles. - Comedor con juego de comedor para seis personas. - Cocina equipada con cocina, refrigeradora, horno microondas, muebles altos y bajos, tablero y mesón de granito con sillas altas para uso diario. - Tres habitaciones: la principal con amplio closet, cama de dos plazas, cómoda y televisor. - Dos habitaciones secundarias con televisor. - Dos baños completos (uno en el dormitorio principal). - Un ambiente para escritorio. - Baño de visita. - Baño de servicio. - Rollers en todos los ambientes. - Lavandería con lava seca. - Terma. - Puerta principal española de acero blindado. - Cochera paralela techada. - Piso 5 con vista exterior. - Área: 107 m2. - Ascensor. - Mantenimiento y arbitrios incluidos en el precio de alquiler. - Vigilancia las 24 horas del día, los 7 días de la semana. - No se permiten mascotas. - Ascensor para discapacitados. - Negociación: 2 meses de garantía y 1 mes adelantado. Para alquilar el departamento, se solicita evaluación crediticia (Infocorp) y sustento de ingresos. contacto: Isabel Goicochea - tlf 9 3 8 3 7 3 4 2 4",Contactar,,
"S/ 2,500",(USD 700),S/ 60 Mantenimiento,Ffay Luis de León 145,"San Miguel, Lima",142 m²,142 m²,3 dorm.,4 baños,"Arquitectónico Departamento Triplex Amoblado en Alquiler || San MiguelAcogedor y Amoblado Departamento Triplex en Alquiler con un área total de 142. 00 m2 distribuidos en sus 3 plantas. Distribución amplia de sala - comedor, 3 Dormitorios Amoblados [Closets + Mobiliario], Cocina Independiente y Amoblada, Hall de Entretenimiento y Estudio (Segundo Nivel), 3 baños completos y 1 medio baño, Balcón con vista exterior a parque y una extensa Terraza con espacio de Lavandería independiente. Edificio exclusivo de 7 niveles con un aforo limitado de departamentos, con el propósito de asegurar la mejor convivencia entre sus selectos residentes. Dotado de una ubicación inigualable en una zona estratégica y de fácil acceso en el epicentro residencial del distrito de San Miguel en confluencia al sector limítrofe con las vías de acceso y egreso mas relevantes de conectividad con los centros de mayor concurrencia de Lima Metrópolis, en complemento de un ecosistema residencial urbano adscrito a un entorno de áreas verdes y centros de monitoreo de seguridad ciudadana en conjugación con un índice de interconexión total con disponibilidad próxima a diversos Centros Comerciales [Plaza San Miguel], Restaurantes Emblemáticos, Clínicas Prestigiosas, Colegios y Universidades Prestigiosas [upc, pucp, San Marcos], Bancos y Supermercados. Complementado con todas la comodidades y servicios a su alcance para la apta y tranquila residencia de sus habitantes. [jb - Realtor Asociated] - jb|| The Real Deal - Broker Team - Estrategas Inmobiliarios de Alto Impacto. - Asesoría Inmobiliaria Especializada en Compra - Venta | Arrendamiento | Inversiones en Activos Inmobiliarios | Mercadotecnia de Segmentación del Inmueble Ideal. **",Contactar,,
"S/ 2,500",(USD 686),Jr Nazca,"Jesús María, Lima",100 m²,100 m²,3 dorm.,3 baños,"Esplendido Departamento en Alquiler Frente Al Campo de Marte.Esplendido departamento en alquiler frente al campo de marte. Si disfruta de una extraordinaria vista y además muy bien ubicado este departamento es para ti y tu familia, zona segura de Jesús María. Departamento de 3 habitaciones la principal con closet, 3 baños completos, sala comedor, todos con vista al Campo de Marte lo que garantiza muy buena iluminación y ventilación. Amplia cocina con área de lavandería, las áreas comunes ( salón para reuniones, piscina, capilla y área de parrilla), podrán de disfrutar de grato momentos en compañía de la familia o amigos. Este hermoso departamento está en un séptimo piso el edificio dispones de dos ascensores. Su ubicación es inmejorable en el Jr. Nazca de Jesús María muy cerca a la Av. Salaverry, Av. Brasil, Av. 28 de julio. R. uc. : Ver datosRazón social: Inversiones Delia S. A. C.",Contactar,,,
"S/ 2,700",S/ 200 Mantenimiento,Pasaje Idelfonso Coloma al 100,"El Carmen, Pueblo Libre",102 m²,102 m²,3 dorm.,2 baños,"Departamento en Parque El Carmen, Pueblo LibreAlquilo departamento con cochera, frente al parque el carmen, pueblo libre El departamento esta en 3er. Piso, con sala comedor, cocina, lavandería con tendales, 3 dormitorios con closet incorporados, 2 baños completos, uno en el dormitorio principal, con balcón con vista al parque, una cochera con puerta eléctrica. El edificio tiene jardines interiores, escaleras amplias y descansadas, grato ambiente. Está ubicado en esquina, entre el Carmen y el pasaje Coloma, con salida a un parque más pequeño. Cerca de La Mar, Bolívar, Clement, La Mar y Sucre. Rodeado de comercio vecinal, el mercado de Bolívar, variedad de restaurantes y cafeterías. Centros médicos, clínicas, hospitales y farmacias. Variedad de nidos, colegios, institutos, academias y universidades. Distribución del departamento: - Sala comedor con puerta en cedro, amplias ventanas con cortinas, los pisos de parquet recién pintados y luminaria. - Cocina con reposteros altos y bajos, con ventanas grandes. - Lavandería amplia con tendales y puerta hacia la cocina. - 3 dormitorios con closet de pared a pared y cortinas; el dormitorio principal con vista al parque y baño incorporado; el segundo con mamparas y balcón a la calle y el tercero con ventanas amplias y vista interior. - La cochera amplia es abierta con salida al Carmen, puerta automática. El mantenimiento es un promedio de 200 soles incluye portería y agua. Para mayor información comunicarse al teléfono o Whats App: Ver datosLiliana Matayoshi Ykehara - ruc Ver datos - mvcs- pn0965Katiusca Sánchez Trujillo ruc - Ver datos -mvcs- pj-0271""profesionales trabajando para ud""",Contactar,,,
"S/ 1,900","San Miguel, Lima",120 m²,120 m²,3 dorm.,1 baño,"Alquilo Departamento 120 m2 / 03 Dorm Primer Piso La Perla Limite con San MiguelContacto cel: 968*357*021. departamento amplio en primer piso, cerca A base naval de la perla, buenos acabados, bastante iluminación Y ventilación X av. Los insurgentes. piso: 1er. Piso. area: 120m2. descripcion: Sala-Comedor vista a la calle pisos de cerámico. Cocina amplia con espacio para comedor de diario, con muebles altos/bajos. 01 Dormitorio Principal amplio sin closet piso porcelanato. 02 Dormitorios Secundarios amplios sin closet piso porcelanato. 01 Baño completo con ducha. Lavandería con patio para tendal / Tiene terma. Edificio de 03 pisos / 1 dpto X piso. no paga mantenimiento. precio del alquiler: S/1, 900. 00. 02 meses garantia/01 adelantado",Contactar,,,,,
"S/ 2,244",(USD 620),Av. República Dominicana 329 Interior 201,"Jesús María, Lima",124 m²,124 m²,3 dorm.,2 baños,"Se Alquila DepartamentoDepartamento amplio, segundo piso, a una cuadra de la iglesia San José, totalmente remodelado (reextreno), 3 dormitorios amplios, área de servicio ( cuarto y baño), edificio de 4 pisos, frente al mercado de Jesús Maria, pocos departamentos por piso, vista a la calle. 2 de garantía, 1 de adelanto",Dueño directo,Contactar,,
"S/ 2,100",S/ 80 Mantenimiento,"San Miguel, Lima",118 m²,118 m²,3 dorm.,3 baños,"Alquilo Bello Departamento en San MiguelAlquilo bello departamento en san miguel. 118 m2. 5 to piso. 1 habitación principal con baño y closet. 1 habitación secundaria con closet y baño. 1 habitación secundaria con closet. 1 baño completo compartido. Sala, comedor. Cocina. Lavandería. 1 dormitorio de servicio con baño. Mantenimiento S/80. 00",Contactar,,,,
"S/ 3,000",Avenida General Garzon 2099,"Jesús María, Lima",99 m²,99 m²,3 dorm.,2 baños,"Exclusivo y Elegante Apartamento con Impresionante Vista en Jesús MaríaBienvenido a este magnífico apartamento ubicado en el corazón del prestigioso distrito de Jesús María, Lima. En el séptimo piso de un edificio con ascensor, disfrutarás de una hermosa vista panorámica de la ciudad desde tu balcón privado. Además, con vigilancia y portero las 24 horas, tendrás la tranquilidad y seguridad que siempre has deseado. Esta espaciosa y cuidadosamente diseñada propiedad de 3 habitaciones es el hogar perfecto para quienes buscan un ambiente cómodo y relajante. La habitación principal cuenta con un amplio baño privado, ideal para momentos de relajación y comodidad absoluta. Las otras dos habitaciones no se quedan atrás, ofreciendo espacios confortables con closets para mantener todo en orden. Un toque adicional de funcionalidad y comodidad se encuentra en la habitación de servicio y el baño completo adicional, brindando espacio para acomodar a familiares o invitados. Además, la gran lavandería te permitirá mantener la ropa siempre impecable. Los amantes de la cocina se deleitarán con esta cocina moderna y espaciosa, equipada con una encimera y horno empotrado de la prestigiosa marca Bosch, asegurando la mejor experiencia culinaria. La campana extractora de diseño elegante completa la funcionalidad y el estilo. La sala y el comedor te darán la bienvenida con un espacio generoso para recibir a tus seres queridos y amigos en una atmósfera cálida y acogedora. Y no podemos olvidar mencionar el balcón, donde podrás disfrutar de momentos inolvidables mientras contemplas las vistas impresionantes de la ciudad. Ubicado en una zona residencial, tranquila y segura, tendrás acceso a parques, centros comerciales, restaurantes y todos los servicios que puedas necesitar. Además, con excelentes conexiones de transporte público y cercanía a las principales vías de la ciudad, disfrutarás de la comodidad de moverte fácilmente por toda Lima. No podemos dejar de mencionar la gran ventaja de tener una cochera lineal y la posibilidad de contar con una cochera adicional, brindándote la comodidad que mereces para tus vehículos. En resumen, este exclusivo apartamento en Jesús María es una verdadera joya en el mercado inmobiliario. Con su ubicación privilegiada, comodidades modernas, hermosa vista y seguridad las 24 horas, es el lugar perfecto para establecer tu hogar. Con acceso rápido a parques, centros comerciales y excelentes conexiones de transporte, disfrutarás de una vida cómoda y conveniente. ¡No pierdas la oportunidad de vivir una vida de lujo y confort en esta exclusiva propiedad! Contáctame ahora para agendar una visita y descubrir tu próximo hogar.",Contactar,,,,
"S/ 1,800",(USD 487),S/ 130 Mantenimiento,AV. ELMER FAUCETT 500,"San Miguel, Lima",95 m²,95 m²,3 dorm.,2 baños,"Se Alquila Duplex en San MiguelBonito Duplex ubicado en Residencial Faucett, cerca a parques, colegios, super mercados, universidades. Con acceso a cualquier lugar de la ciudad. Amplio, ventilado e iluminado. Características: 1er piso: Sala. Comedor. Cocina. Lavandería. 1 baño completo. 2do piso. 3 habitaciones. 1 baño Completo. Departamento en 4to piso. Sin ascensor. Condición 2x1",Contactar,,
"S/ 3,000",S/ 260 Mantenimiento,"Av San Felipe 601 Piso 11, Jesus Maria","Jesús María, Lima",105 m²,100 m²,3 dorm.,3 baños,"Alquilo Moderno Departamento Full Amoblado en Av San Felipe, Jesus Maria""¡¡alquilo moderno departamento full amoblado en san felipe, jesusmaria!! Amplio y acogedor departamento consta de 100m2, muy bien distribuidos; ubicado en piso 11. Cuenta con Sala comedor muy iluminada y balcón con bonita vista. Cocina con reposteros altos y bajos, adicional cuarto y baño de servicio Área de lavandería con terma. Tiene 3 dormitorios; Habitación principal con balcón, closet y baño incorporado, 2 dormitorios secundario con closet y baño completo. No se aceptan mascotas. Hay 1 cochera Adicional S/350. Condiciones 2X1, Contrato por 1 AñoEl edificio cuenta con hermosas áreas comunes; gimnasio, piscina, área de parrillas, área de yoga, juegos para niños (playground), área para adultos y jóvenes y parque interno, vigilancia 24/7. El mantenimiento es de S/. 260 aprox. Excelente Ubicación: Esta ubicado a 3 cuadras de Universidades como la up y de la upc a pocas cuadrasdel Real Plaza Salaverry, ClínicaSan Felipe y mercado de Jesús María. saito-servicios inmobiliarios S. A. C. ruc: Ver datos",Contactar,,,
"S/ 2,700",(USD 740),Av. Colombia al 200 Pueblo Libre,"Oyague, Pueblo Libre",95 m²,95 m²,3 dorm.,2 baños,"Alquilo Departamento en Primer Piso 03 Dorm. 01 Cochera 01x01Se alquila departamento en primer piso con ascensor para discapacitados Área 95 m2Cuenta de una linda Sala comedor, TerrazaCocina cerrada con muebles altos y bajos, cocina empotrada con Gas calida y Terma agua caliente a gas. Lavandería 03 dormitorios amplios Habitación principal con amplio closet y baño incorporado. El departamento cuenta con 2 baños completos (uno en habitación principal. Equipado con cocina, rolers y luminarias. 01 cochera en primer piso con ingreso independiente. Recepción: Personal de recepción 24x7 edificio muy seguro con cámaras en todas las áreas comunes. Áreas Sociales: Piscina, terraza, gimnasio, Cine, área de juego de niños, Salón de eventos, área de parrillas, 02 ascensores. Mantenimiento del edificio (mensual) = 350 soles aprox. Incluye aguaBienvenidas sus mascotas pequeñasContrato por 01 año estar con infocorp en verde y tener sustento de ingresos. Condiciones 01 x 01",Contactar,,,
"S/ 2,500",(USD 689),S/ 150 Mantenimiento,Av. José Leguía y Meléndez 1600,"Pueblo Libre, Lima",120 m²,120 m²,3 dorm.,2 baños,"Departamento en Alquiler Pueblo LibreDepartamento en alquiler ubicado en pueblo libre de 120 metros cuadrados. Pide tu video recorrido del departamento y Agenda tu visita hoy mismo! Ubicación exacta: Av. José Leguía y Meléndez ( anteriormente era Av. Clement) Características: - 3 Habitaciones- 2 Baños + 1 de visitas- 1 cochera- 1 patio-Área de lavandería-1 habitación de estudio- Departamento en el primer piso. -Con dos ingresos independientes. - Área de 120 m2. Precio: S/. 2, 500Modalidad 2X1(Dos meses de garantía y 1 de adelanto) jbVer datos Proyectum Perú",Contactar,,
"S/ 2,400",CALLE SALAMANCA ALQUILO CASA EN BAJOS 3DORM.COCHERA 130M2,"Colmenares, Pueblo Libre",128 m²,130 m²,3 dorm.,3 baños,Alquilo Casa en Pueblo Libre 1er. Piso 3dorm.3baños 130 m2Casa en bajos 130M2 3dorm. 4baños sala comedor cocina amoblada lavanderia cochera bien conservada no mascotas solo 4habitantes adultos,Contactar,,,,
"S/ 2,450",S/ 240 Mantenimiento,Horacio Urteaga 722,"Jesús María, Lima",110 m²,110 m²,3 dorm.,2 baños,"Alquilo Dpto Amoblado Espacioso 110 m2 3 Hab Horacio UrteagaAlquilo departamento excelente zona a media cuadra de la Av salaverry, hospital Rebagliati, reniec frente al campo de marte Horacio Urteaga. Departamento cuenta con sala comedor muebles de comedor y sala, sala de entretenimiento. Cocina con muebles altos y bajos encimera, horno. Lavandería separada de la cocina con Therma. 3 habitaciones en cada habitación cuenta con cama y closet empotrado. Mayor información llamar Giannina Huarcaya. 9. 6. 6. . 3. 5. 9. 4. 2. 4",Contactar,,,
"S/ 2,505",(USD 695),S/ 240 Mantenimiento,AV SAN Felipe 9XX,"Jesús María, Lima",97 m²,97 m²,3 dorm.,3 baños,"Departamento - Jesús María Cerca Upc y del Pacifico 3 HabitacionesEsta es la opción que buscas ¡ El Departamento está ubicado cerca a todo, en plena Av. San Felipe a una cuadra de Av. Salaverry donde podrás tener conectividad a todo Lima, a unas cuadras de la Universidades del Pacifico y upc, Cerca al Real Plaza Salaverry, Hospital Rebagliati y cerca a Parques. Todo lo que necesitas para vivir tranquilo. El departamento tiene vista exterior, Semi Amoblado! El Departamento está ubicado en el piso 11 con muy buena iluminación y distribución más 97 m2. Características: Área 97 m2 en totalPiso 11Amplia Sala Comedor 03 habitaciones con closetHabitación Principal con baño incorporado1 Baño completo que comparten las dos habitaciones secundariasCocina concepto abierto y lavanderíaCuarto y baño de servicioCaracterísticas del EdificioUn total de 13 PisosÁrea de Parrilla en el último pisoRecepción Seguridad 24/7 *La oportunidad que estabas esperando, agenda su visita. *¡En Citify Inmobiliaria tenemos la propiedad que hará cambiar tu vida! **Tipo de Cambio referencial en soles variacion de acuerdo al tipo de cambio **",Contactar,,
"S/ 2,366",(USD 650),GENERAL JOSE RAMON PIZARRO,"Pueblo Libre, Lima",170 m²,170 m²,4 dorm.,3 baños,"Alquiler Departamento Pueblo LibreDepartamento amplio con un área de 170m2 super amplio, a un paso de Avenidas principales con Av. Sucre, av. Bolivar, cerca de Colegios, Universidades, cerca del Hospital Santa Rosa y otras Clinicas, a un paso de entidades financieras y con facilidad de transporte. Departamento ubicado en 3 piso, super amplio con Sala comedor, cocina en madera y mármol, lavanderia, cuarto de depósito, 4 dormitorios. El dormitorio principal tienen baño completo con tina amplio, además hay un baño completo que se comparte con los demás dormitorios. El departamento tiene vista interior y escalera independiente de ingreso. Si estás buscando un departamento amplio en una buena zona de Pueblo libre ésta es tu oportunidad. Precio alquiler 2, 366 soles. No pago de mantenimiento. No pago de arbitrios.",Contactar,,,
